name,platform,year_of_release
Gunstar Heroes,GEN,1992
Ecco the Dolphin,GEN,1992
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1992
Dragon Slayer: The Legend of Heroes,SNES,1992
Syndicate,PC,1992
Teenage Mutant Ninja Turtles: Tournament Fighters,SNES,1992
Sonic the Hedgehog 2 (8-bit),GG,1992
Doom,PC,1992
Empire Deluxe,PC,1992
Super Mario Land 2: 6 Golden Coins,GB,1992
Kirby's Dream Land,GB,1992
The Legend of Zelda: A Link to the Past,SNES,1992
Dragon Quest III,NES,1992
Dragon Quest IV,NES,1992
Yoshi,GB,1992
Yoshi,NES,1992
Super Scope 6,SNES,1992
Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1992
The Magical Quest starring Mickey Mouse (all region sales),SNES,1992
Mega Man 4,NES,1992
Super Mario USA,NES,1992
The Magical Quest starring Mickey Mouse (weekly jp sales),SNES,1992
The Legend of the Mystical Ninja,SNES,1992
Bomberman II,NES,1992
Super Soccer,SNES,1992
Mega Man II,GB,1992
Romance of the Three Kingdoms II,SNES,1992
Mega Man III,GB,1992
World League Soccer,SNES,1992
Dragon Slayer: Eiyuu Densetsu,SNES,1992
Super Mario All-Stars,SNES,1993
Star Fox,SNES,1993
Super Street Fighter II,SNES,1993
Mortal Kombat II,SNES,1993
Secret of Mana,SNES,1993
Kirbys Adventure,NES,1993
Disney's Aladdin,SNES,1993
Super Puyo Puyo,SNES,1993
Sonic CD,SCD,1993
Dragon Ball Z,SNES,1993
Dragon Ball Z: La Legende Saien,SNES,1993
Romancing SaGa 2,SNES,1993
Mega Man X,SNES,1993
Dragon Quest I & II,SNES,1993
Final Fight 2,SNES,1993
Tetris 2,NES,1993
Capcoms Soccer Shootout,SNES,1993
Torneko no Daibouken: Fushigi no Dungeon,SNES,1993
Dragon Ball Z: Ultime Menace,SNES,1993
J-League Soccer: Prime Goal,SNES,1993
Nobunaga no Yabou: Haouden,SNES,1993
Mega Man X2,SNES,1993
Virtual Soccer,SNES,1993
Winning Post,SNES,1993
Mega Man 6,NES,1993
Mario & Wario,SNES,1993
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993
Fatal Fury 2,SNES,1993
Yuu Yuu Hakusho,SNES,1993
Jurassic Park,NES,1993
Stunt Race FX,SNES,1993
Shin Momotarou Densetsu,SNES,1993
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993
Bishoujo Senshi Sailormoon R,SNES,1993
Sailor Moon,SNES,1993
Jissen Pachi-Slot Hisshouhou,SNES,1993
Shining Force II,GEN,1993
Thoroughbred Breeder,SNES,1993
Mega Man Soccer,SNES,1993
Super Power League,SNES,1993
Super Street Fighter II,GEN,1993
